course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts
HarvardX/PH207x/2012_Fall,MHxPC130531075,1,1,1,1,United Kingdom,unk,-1.0,unk,9/23/12,1/13/13,7220.0,37.0,1111.0,16.0,0
HarvardX/ER22x/2013_Spring,MHxPC130240219,1,1,1,1,Other Europe,Secondary,1991.0,m,3/20/13,8/13/13,1935.0,59.0,0.0,34.0,0
HarvardX/CB22x/2013_Spring,MHxPC130249451,1,1,1,1,United States,Doctorate,1969.0,m,4/4/13,8/2/13,2547.0,73.0,0.0,15.0,0
HarvardX/CS50x/2012,MHxPC130083750,1,1,1,1,United Kingdom,Secondary,1993.0,m,10/14/12,4/21/13,220.0,29.0,0.0,12.0,0
HarvardX/CS50x/2012,MHxPC130459697,1,1,0,0,India,Secondary,1996.0,m,7/21/13,7/21/13,12.0,2.0,0.0,3.0,0
HarvardX/CB22x/2013_Spring,MHxPC130187731,1,1,0,0,United States,Bachelor's,1974.0,f,2/20/13,3/19/13,32.0,2.0,0.0,3.0,0
HarvardX/CS50x/2012,MHxPC130328282,1,1,0,0,France,unk,-1.0,unk,6/13/13,6/3/13,9.0,2.0,0.0,1.0,0
HarvardX/ER22x/2013_Spring,MHxPC130345453,1,1,1,1,United States,Master's,-1.0,unk,5/13/13,9/4/13,1537.0,25.0,0.0,33.0,0
HarvardX/PH207x/2012_Fall,MHxPC130146501,1,1,1,1,Other Europe,Master's,1983.0,m,8/15/12,6/14/13,6344.0,65.0,540.0,16.0,0
HarvardX/CS50x/2012,MHxPC130500486,1,0,0,0,Other Africa,Bachelor's,1990.0,m,6/12/13,6/12/13,2.0,1.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130496412,1,1,0,0,United States,unk,-1.0,unk,3/11/13,3/11/13,7.0,1.0,0.0,1.0,0
HarvardX/ER22x/2013_Spring,MHxPC130149881,1,0,0,0,Other Europe,Bachelor's,1985.0,f,2/19/13,3/13/13,12.0,2.0,0.0,0.0,0
HarvardX/PH207x/2012_Fall,MHxPC130255502,1,0,0,0,Pakistan,Bachelor's,1986.0,m,10/16/12,10/21/12,4.0,2.0,0.0,0.0,0
HarvardX/PH207x/2012_Fall,MHxPC130176591,1,1,1,1,Other Africa,unk,1981.0,m,10/11/12,1/19/13,12639.0,64.0,4602.0,15.0,0
HarvardX/ER22x/2013_Spring,MHxPC130312943,1,0,0,0,Indonesia,Secondary,1993.0,m,5/13/13,5/13/13,1.0,1.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130157876,1,0,0,0,United States,Master's,1974.0,m,10/15/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/PH207x/2012_Fall,MHxPC130081299,1,1,1,1,India,Bachelor's,1988.0,m,9/12/12,1/14/13,3032.0,38.0,352.0,15.0,1
HarvardX/CS50x/2012,MHxPC130404322,1,1,1,1,Russian Federation,Bachelor's,1987.0,m,2/12/13,5/20/13,620.0,44.0,0.0,12.0,0
HarvardX/CS50x/2012,MHxPC130426031,1,1,1,1,India,unk,-1.0,unk,10/18/12,7/30/13,77.0,44.0,0.0,8.0,0
HarvardX/ER22x/2013_Spring,MHxPC130522789,1,1,0,0,Other South America,unk,-1.0,m,8/18/13,8/18/13,3.0,1.0,0.0,1.0,0
HarvardX/CS50x/2012,MHxPC130054502,1,1,0,0,United States,Less than Secondary,1995.0,m,1/16/13,7/7/13,11.0,2.0,0.0,2.0,0
HarvardX/CS50x/2012,MHxPC130136702,1,0,0,0,United States,Secondary,1991.0,m,3/31/13,3/31/13,3.0,1.0,0.0,0.0,0
HarvardX/PH207x/2012_Fall,MHxPC130593841,1,1,0,0,Mexico,Master's,1982.0,m,11/11/12,8/28/13,299.0,16.0,54.0,3.0,0
HarvardX/PH207x/2012_Fall,MHxPC130018192,1,1,1,1,Nigeria,Bachelor's,1985.0,f,10/24/12,1/20/13,2678.0,27.0,306.0,13.0,0
HarvardX/ER22x/2013_Spring,MHxPC130456656,1,1,1,1,India,Secondary,1993.0,m,6/27/13,8/12/13,742.0,7.0,0.0,19.0,0
HarvardX/PH278x/2013_Spring,MHxPC130460911,1,1,0,0,Other Europe,Master's,1983.0,m,2/16/13,8/25/13,10.0,2.0,1.0,1.0,0
HarvardX/PH207x/2012_Fall,MHxPC130302263,1,1,1,1,Germany,Bachelor's,1985.0,f,10/11/12,2/16/13,23814.0,39.0,6265.0,16.0,0
HarvardX/PH278x/2013_Spring,MHxPC130258883,1,1,0,0,United States,Secondary,1995.0,m,5/29/13,6/26/13,138.0,6.0,30.0,2.0,0
HarvardX/ER22x/2013_Spring,MHxPC130035757,1,1,0,0,Other Africa,Master's,1979.0,m,3/31/13,3/31/13,133.0,2.0,0.0,3.0,0
HarvardX/ER22x/2013_Spring,MHxPC130114531,1,1,1,1,Brazil,Secondary,1997.0,m,2/20/13,7/24/13,2118.0,69.0,0.0,33.0,0
HarvardX/CS50x/2012,MHxPC130468587,1,1,1,1,Germany,unk,1980.0,m,10/14/12,6/27/13,461.0,82.0,0.0,12.0,0
HarvardX/PH278x/2013_Spring,MHxPC130327570,1,1,0,0,United Kingdom,Bachelor's,1989.0,m,5/21/13,5/21/13,108.0,1.0,0.0,2.0,0
HarvardX/PH207x/2012_Fall,MHxPC130297940,1,0,0,0,United States,Secondary,1992.0,f,7/31/12,7/31/12,1.0,1.0,0.0,0.0,0
HarvardX/PH207x/2012_Fall,MHxPC130346874,1,0,0,0,Brazil,Bachelor's,1985.0,m,8/18/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/CB22x/2013_Spring,MHxPC130337189,1,0,0,0,Greece,Secondary,1990.0,f,2/28/13,2/28/13,2.0,1.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130490714,1,1,0,0,Pakistan,Master's,1975.0,m,10/21/12,7/6/13,14.0,1.0,0.0,1.0,0
HarvardX/PH207x/2012_Fall,MHxPC130360907,1,1,1,1,India,Master's,1989.0,f,10/16/12,1/18/13,2067.0,12.0,0.0,13.0,0
HarvardX/ER22x/2013_Spring,MHxPC130361140,1,1,0,0,Other Europe,Secondary,1992.0,f,3/15/13,9/4/13,196.0,11.0,0.0,5.0,0
HarvardX/PH207x/2012_Fall,MHxPC130344269,1,1,1,1,Spain,Master's,1989.0,m,9/10/12,1/20/13,6629.0,23.0,1163.0,15.0,0
HarvardX/CS50x/2012,MHxPC130571217,1,0,0,0,Brazil,Secondary,1982.0,m,8/1/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130460830,1,0,0,0,Philippines,Secondary,1996.0,f,8/22/13,unk,0.0,0.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130444293,1,1,1,1,United States,Bachelor's,1988.0,m,10/27/12,5/23/13,363.0,34.0,0.0,12.0,0
HarvardX/PH278x/2013_Spring,MHxPC130129091,1,0,0,0,India,Bachelor's,1992.0,m,4/16/13,4/16/13,2.0,1.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130534894,1,0,0,0,Unknown/Other,Master's,1986.0,f,8/1/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/ER22x/2013_Spring,MHxPC130061546,1,1,0,1,Other Africa,Secondary,1993.0,f,7/25/13,7/25/13,610.0,1.0,0.0,9.0,0
HarvardX/ER22x/2013_Spring,MHxPC130241794,1,1,1,1,Russian Federation,unk,-1.0,unk,2/2/13,8/13/13,1329.0,24.0,0.0,32.0,0
HarvardX/PH207x/2012_Fall,MHxPC130307768,1,1,1,1,United States,Bachelor's,1988.0,f,9/28/12,1/19/13,7290.0,59.0,1023.0,15.0,0
HarvardX/CS50x/2012,MHxPC130296936,1,0,0,0,Portugal,Secondary,1982.0,m,8/21/13,unk,0.0,0.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130364641,1,0,0,0,India,Secondary,1997.0,m,9/29/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130552718,1,0,0,0,India,Bachelor's,1984.0,m,4/5/13,4/5/13,1.0,1.0,0.0,0.0,0
HarvardX/ER22x/2013_Spring,MHxPC130452251,1,1,0,1,Canada,Bachelor's,1988.0,m,7/22/13,7/22/13,384.0,1.0,0.0,7.0,0
HarvardX/CS50x/2012,MHxPC130482883,1,1,1,0,India,Secondary,1995.0,m,11/5/12,5/20/13,149.0,8.0,0.0,9.0,0
HarvardX/CB22x/2013_Spring,MHxPC130384242,1,1,1,1,Greece,Master's,1981.0,f,3/9/13,9/5/13,5194.0,88.0,0.0,26.0,1
HarvardX/PH207x/2012_Fall,MHxPC130518240,1,1,1,1,Other South Asia,Bachelor's,1989.0,f,8/9/12,5/28/13,7330.0,97.0,1358.0,16.0,0
HarvardX/CB22x/2013_Spring,MHxPC130524471,1,1,0,0,United States,Bachelor's,1968.0,m,7/12/13,7/12/13,53.0,1.0,0.0,2.0,0
HarvardX/ER22x/2013_Spring,MHxPC130068832,1,1,1,1,United States,Bachelor's,1981.0,m,1/3/13,7/31/13,1498.0,33.0,0.0,32.0,1
HarvardX/CS50x/2012,MHxPC130387326,1,1,0,0,Australia,Bachelor's,1978.0,m,1/3/13,4/12/13,11.0,2.0,0.0,1.0,0
HarvardX/PH278x/2013_Spring,MHxPC130402152,1,1,0,1,Other Africa,Secondary,1992.0,m,5/22/13,6/3/13,634.0,3.0,35.0,3.0,0
HarvardX/ER22x/2013_Spring,MHxPC130257655,1,1,0,0,United States,unk,1958.0,f,3/4/13,3/13/13,92.0,1.0,0.0,2.0,0
HarvardX/CB22x/2013_Spring,MHxPC130596289,1,0,0,0,United States,Secondary,1981.0,m,2/22/13,3/16/13,18.0,4.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130072822,1,0,0,0,Unknown/Other,Doctorate,1989.0,m,1/23/13,unk,0.0,0.0,0.0,0.0,0
HarvardX/PH207x/2012_Fall,MHxPC130159706,1,1,0,0,United States,Doctorate,1981.0,f,10/16/12,10/16/12,22.0,1.0,2.0,1.0,0
HarvardX/PH207x/2012_Fall,MHxPC130397539,1,1,0,0,India,Master's,1985.0,f,10/30/12,10/30/12,152.0,1.0,30.0,2.0,1
HarvardX/CS50x/2012,MHxPC130416264,1,1,0,0,Poland,Bachelor's,1985.0,m,3/28/13,5/27/13,13.0,3.0,0.0,4.0,0
HarvardX/PH207x/2012_Fall,MHxPC130273041,1,1,1,1,India,Master's,1987.0,f,10/14/12,1/20/13,4440.0,42.0,204.0,13.0,0
HarvardX/PH207x/2012_Fall,MHxPC130353608,1,0,0,0,United States,Bachelor's,1963.0,f,8/14/12,8/14/12,1.0,1.0,0.0,0.0,0
HarvardX/PH207x/2012_Fall,MHxPC130042412,1,1,1,1,India,Master's,1989.0,m,8/17/12,1/20/13,3393.0,34.0,429.0,13.0,0
HarvardX/ER22x/2013_Spring,MHxPC130134122,1,1,1,1,Australia,Bachelor's,1983.0,m,6/23/13,8/16/13,1224.0,17.0,0.0,33.0,0
HarvardX/PH278x/2013_Spring,MHxPC130311137,1,0,0,0,Unknown/Other,Master's,1982.0,f,1/22/13,unk,0.0,0.0,0.0,0.0,0
HarvardX/PH207x/2012_Fall,MHxPC130238080,1,0,0,0,Other Africa,Master's,1970.0,m,9/21/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/PH207x/2012_Fall,MHxPC130320861,1,0,0,0,Pakistan,Master's,1984.0,m,8/8/12,8/8/12,1.0,1.0,0.0,0.0,0
HarvardX/CB22x/2013_Spring,MHxPC130509217,1,1,1,1,Greece,Secondary,1993.0,f,3/16/13,8/19/13,1398.0,29.0,0.0,25.0,0
HarvardX/ER22x/2013_Spring,MHxPC130162377,1,1,1,1,Unknown/Other,unk,-1.0,unk,4/8/13,8/13/13,2423.0,35.0,0.0,33.0,0
HarvardX/CS50x/2012,MHxPC130437506,1,0,0,0,Unknown/Other,Secondary,1994.0,f,8/12/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/ER22x/2013_Spring,MHxPC130105841,1,0,0,0,Unknown/Other,Bachelor's,1991.0,f,7/29/13,unk,0.0,0.0,0.0,0.0,0
HarvardX/ER22x/2013_Spring,MHxPC130385587,1,1,1,1,United States,unk,1991.0,m,5/31/13,8/8/13,1262.0,12.0,0.0,33.0,0
HarvardX/PH207x/2012_Fall,MHxPC130550632,1,1,1,1,Poland,Secondary,1988.0,m,10/13/12,2/13/13,10555.0,69.0,2026.0,16.0,0
HarvardX/PH207x/2012_Fall,MHxPC130229139,1,1,1,1,India,Master's,1977.0,f,10/24/12,1/19/13,9115.0,53.0,703.0,16.0,0
HarvardX/ER22x/2013_Spring,MHxPC130517417,1,1,0,0,Other Europe,Master's,1988.0,m,2/22/13,4/7/13,113.0,10.0,0.0,5.0,0
HarvardX/PH207x/2012_Fall,MHxPC130103713,1,1,1,0,India,Master's,1974.0,m,11/4/12,1/20/13,1975.0,11.0,586.0,16.0,0
HarvardX/CB22x/2013_Spring,MHxPC130313224,1,1,1,1,United States,Master's,1970.0,m,3/19/13,9/6/13,4602.0,106.0,0.0,26.0,0
HarvardX/ER22x/2013_Spring,MHxPC130503398,1,1,1,1,Other Europe,Secondary,1990.0,f,5/14/13,8/13/13,1577.0,15.0,0.0,33.0,0
HarvardX/PH278x/2013_Spring,MHxPC130432321,1,1,0,0,Spain,Master's,1987.0,f,3/14/13,5/16/13,185.0,3.0,30.0,2.0,0
HarvardX/PH278x/2013_Spring,MHxPC130105337,1,0,0,0,Unknown/Other,unk,-1.0,unk,6/8/13,unk,0.0,0.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130187910,1,1,1,1,India,unk,-1.0,unk,7/24/12,6/15/13,250.0,41.0,0.0,12.0,0
HarvardX/PH207x/2012_Fall,MHxPC130196126,1,1,1,1,United States,Master's,1981.0,m,9/26/12,1/19/13,10712.0,55.0,1798.0,16.0,0
HarvardX/ER22x/2013_Spring,MHxPC130085980,1,1,1,1,United States,Bachelor's,1973.0,m,12/27/12,8/7/13,1879.0,46.0,0.0,33.0,0
HarvardX/CS50x/2012,MHxPC130597027,1,1,1,1,Other South Asia,unk,-1.0,unk,8/29/12,4/21/13,323.0,31.0,0.0,12.0,0
HarvardX/CS50x/2012,MHxPC130180220,1,1,1,1,Bangladesh,Secondary,1993.0,m,10/20/12,6/7/13,56.0,13.0,0.0,11.0,0
HarvardX/PH278x/2013_Spring,MHxPC130105465,1,1,0,1,Other Africa,Doctorate,1961.0,m,1/26/13,7/13/13,1733.0,22.0,324.0,5.0,0
HarvardX/CS50x/2012,MHxPC130166598,1,0,0,0,Other Africa,Bachelor's,1968.0,m,3/15/13,3/15/13,1.0,1.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130543581,1,1,0,0,United States,Secondary,1994.0,m,7/31/13,7/31/13,10.0,1.0,0.0,1.0,0
HarvardX/ER22x/2013_Spring,MHxPC130301160,1,1,0,1,Other Africa,Bachelor's,1989.0,f,2/22/13,8/14/13,601.0,16.0,0.0,12.0,0
HarvardX/ER22x/2013_Spring,MHxPC130316628,1,0,0,0,India,Master's,1980.0,m,8/29/13,8/29/13,1.0,1.0,0.0,0.0,0
HarvardX/CB22x/2013_Spring,MHxPC130280913,1,1,1,1,Greece,Bachelor's,1979.0,m,5/21/13,7/24/13,1609.0,3.0,0.0,26.0,0
HarvardX/PH278x/2013_Spring,MHxPC130398206,1,0,0,0,Other Europe,Secondary,1990.0,m,1/6/13,5/25/13,2.0,1.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130035144,1,0,0,0,United States,Bachelor's,1988.0,m,8/19/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/CB22x/2013_Spring,MHxPC130051304,1,1,1,1,India,Bachelor's,1991.0,f,1/11/13,8/25/13,1389.0,22.0,0.0,26.0,0
HarvardX/CS50x/2012,MHxPC130450053,1,1,1,1,India,Bachelor's,1990.0,f,10/11/12,5/10/13,67.0,19.0,0.0,9.0,0
HarvardX/CS50x/2012,MHxPC130110861,1,1,1,1,Other Europe,Bachelor's,1985.0,f,12/23/12,5/2/13,167.0,19.0,0.0,12.0,0
HarvardX/CB22x/2013_Spring,MHxPC130192783,1,1,1,1,United States,Master's,1955.0,m,2/3/13,8/14/13,5976.0,112.0,0.0,26.0,0
HarvardX/CS50x/2012,MHxPC130419422,1,1,1,1,India,Secondary,1989.0,m,10/8/12,5/18/13,251.0,49.0,0.0,11.0,0
HarvardX/CB22x/2013_Spring,MHxPC130575001,1,1,0,0,Other Europe,Master's,1989.0,m,6/15/13,6/15/13,20.0,1.0,0.0,3.0,0
HarvardX/CS50x/2012,MHxPC130237314,1,0,0,0,United States,Secondary,1961.0,f,8/28/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/ER22x/2013_Spring,MHxPC130031483,1,1,1,1,United States,Bachelor's,1964.0,m,12/20/12,9/3/13,3211.0,74.0,0.0,32.0,0
HarvardX/PH207x/2012_Fall,MHxPC130544199,1,0,0,0,China,Doctorate,1987.0,f,8/3/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130528308,1,0,0,0,Other Europe,Secondary,1992.0,m,9/3/13,unk,0.0,0.0,0.0,0.0,0
HarvardX/ER22x/2013_Spring,MHxPC130316087,1,1,1,1,United States,Bachelor's,1993.0,m,5/17/13,8/16/13,549.0,11.0,0.0,19.0,0
HarvardX/CS50x/2012,MHxPC130231601,1,1,1,0,United Kingdom,unk,-1.0,unk,9/19/12,6/17/13,5.0,1.0,0.0,11.0,0
HarvardX/PH207x/2012_Fall,MHxPC130318211,1,1,1,1,United States,Doctorate,1970.0,f,8/23/12,3/20/13,17657.0,87.0,3029.0,15.0,0
HarvardX/PH207x/2012_Fall,MHxPC130571072,1,1,0,0,United States,unk,-1.0,unk,6/21/13,6/21/13,27.0,1.0,3.0,2.0,0
HarvardX/CB22x/2013_Spring,MHxPC130086504,1,1,1,1,Spain,Bachelor's,1980.0,f,3/26/13,9/3/13,7218.0,95.0,0.0,25.0,0
HarvardX/CB22x/2013_Spring,MHxPC130072849,1,1,1,1,Other South America,Secondary,1993.0,f,2/23/13,9/7/13,827.0,19.0,0.0,14.0,0
HarvardX/ER22x/2013_Spring,MHxPC130037673,1,1,1,1,Ukraine,Master's,1983.0,m,3/10/13,8/20/13,2456.0,99.0,0.0,34.0,0
HarvardX/CS50x/2012,MHxPC130391545,1,1,1,1,United States,Bachelor's,1985.0,f,10/10/12,4/29/13,189.0,23.0,0.0,11.0,0
HarvardX/PH207x/2012_Fall,MHxPC130116902,1,1,1,1,Brazil,Bachelor's,1989.0,m,10/3/12,1/15/13,2801.0,31.0,338.0,14.0,0
HarvardX/CB22x/2013_Spring,MHxPC130515534,1,0,0,0,United States,Master's,1971.0,f,3/1/13,3/1/13,2.0,1.0,0.0,0.0,0
HarvardX/ER22x/2013_Spring,MHxPC130484215,1,1,0,1,Other Middle East/Central Asia,Bachelor's,1987.0,f,1/24/13,7/30/13,602.0,19.0,0.0,15.0,0
HarvardX/PH207x/2012_Fall,MHxPC130229692,1,1,1,1,Spain,Master's,1986.0,m,8/28/12,2/14/13,1728.0,24.0,8.0,12.0,0
